"T2LBL";"T3LB";"T4LB";"T5ALB";"T5BLB";"Id";"index";"Company"
"51 - 60";"Œrednie techniczne";"Pracownik techniczny";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";108;1;"£ubin"
"51 - 60";"Œrednie ogólne";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";108;1;"£ubin"
"51 - 60";"Œrednie ogólne";"Pracownik techniczny";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";101;1;"Arnika"
"mniej ni¿ 30";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";101;1;"Arnika"
"41 - 50";"Wy¿sze rolnicze";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";108;1;"£ubin"
"51 - 60";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";108;1;"£ubin"
"31 - 40";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";108;1;"£ubin"
"powy¿ej 60";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";108;1;"£ubin"
"41 - 50";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";108;1;"£ubin"
"41 - 50";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";105;1;"Fio³ek"
"41 - 50";"Œrednie techniczne";"Agronom ekspert";"100.01 - 250 ha";"100.01 - 250 ha";108;1;"£ubin"
"31 - 40";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"25.01 - 50 ha";108;1;"£ubin"
"51 - 60";"Œrednie ogólne";"G³ówny agronom";"100.01 - 250 ha";"100.01 - 250 ha";108;1;"£ubin"
"powy¿ej 60";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";104;1;"Dzwonek"
"31 - 40";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";108;1;"£ubin"
"powy¿ej 60";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";103;1;"Chaber"
"41 - 50";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"50.01 - 100 ha";109;1;"Miêta"
"51 - 60";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"50.01 - 100 ha";101;1;"Arnika"
"41 - 50";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";108;1;"£ubin"
"31 - 40";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";108;1;"£ubin"
"31 - 40";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"50.01 - 100 ha";101;1;"Arnika"
"51 - 60";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";104;1;"Dzwonek"
"51 - 60";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"50.01 - 100 ha";101;1;"Arnika"
"31 - 40";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";108;1;"£ubin"
"mniej ni¿ 30";"Œrednie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"50.01 - 100 ha";101;1;"Arnika"
"31 - 40";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"50.01 - 100 ha";108;1;"£ubin"
"mniej ni¿ 30";"Œrednie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"50.01 - 100 ha";108;1;"£ubin"
"41 - 50";"Œrednie techniczne";"W³aœciciel";"50.01 - 100 ha";"100.01 - 250 ha";109;1;"Miêta"
"31 - 40";"Œrednie ogólne";"G³ówny agronom";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";101;1;"Arnika"
"51 - 60";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"50.01 - 100 ha";108;1;"£ubin"
"31 - 40";"Wy¿sze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";104;1;"Dzwonek"
"41 - 50";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";109;1;"Miêta"
"mniej ni¿ 30";"Wy¿sze rolnicze";"Pracownik techniczny";"25.01 - 50 ha";"25.01 - 50 ha";101;1;"Arnika"
"mniej ni¿ 30";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";101;1;"Arnika"
"powy¿ej 60";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";102;1;"Babka"
"mniej ni¿ 30";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"50.01 - 100 ha";110;1;"Narcyz"
"powy¿ej 60";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";104;1;"Dzwonek"
"51 - 60";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";103;1;"Chaber"
"powy¿ej 60";"Œrednie techniczne";"G³ówny agronom";"50.01 - 100 ha";"50.01 - 100 ha";106;1;"GoŸdzik"
"41 - 50";"Œrednie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"mniej ni¿ 25 ha";102;1;"Babka"
"51 - 60";"Wy¿sze rolnicze";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";104;1;"Dzwonek"
"powy¿ej 60";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"100.01 - 250 ha";110;1;"Narcyz"
"31 - 40";"Wy¿sze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"100.01 - 250 ha";101;1;"Arnika"
"powy¿ej 60";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";104;1;"Dzwonek"
"41 - 50";"Wy¿sze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"100.01 - 250 ha";108;1;"£ubin"
"51 - 60";"Wy¿sze rolnicze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";107;1;"Jaskier"
"31 - 40";"Wy¿sze rolnicze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";107;1;"Jaskier"
"powy¿ej 60";"Œrednie ogólne";"G³ówny agronom";"50.01 - 100 ha";"50.01 - 100 ha";106;1;"GoŸdzik"
"51 - 60";"Wy¿sze";"Pracownik techniczny";"25.01 - 50 ha";"50.01 - 100 ha";104;1;"Dzwonek"
"powy¿ej 60";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";110;1;"Narcyz"
"powy¿ej 60";"Œrednie techniczne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";108;1;"£ubin"
"mniej ni¿ 30";"Œrednie ogólne";"G³ówny agronom";"50.01 - 100 ha";"50.01 - 100 ha";101;1;"Arnika"
"51 - 60";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"25.01 - 50 ha";102;1;"Babka"
"powy¿ej 60";"Œrednie ogólne";"Agronom ekspert";"100.01 - 250 ha";"100.01 - 250 ha";102;1;"Babka"
"powy¿ej 60";"Wy¿sze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"100.01 - 250 ha";110;1;"Narcyz"
"51 - 60";"Wy¿sze";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"25.01 - 50 ha";110;1;"Narcyz"
"mniej ni¿ 30";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";109;1;"Miêta"
"51 - 60";"Œrednie ogólne";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";106;1;"GoŸdzik"
"51 - 60";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";108;1;"£ubin"
"powy¿ej 60";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";103;1;"Chaber"
"31 - 40";"Œrednie techniczne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";109;1;"Miêta"
"powy¿ej 60";"Wy¿sze rolnicze";"Agronom ekspert";"25.01 - 50 ha";"50.01 - 100 ha";103;1;"Chaber"
"mniej ni¿ 30";"Œrednie techniczne";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";101;1;"Arnika"
"41 - 50";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";101;1;"Arnika"
"mniej ni¿ 30";"Inne";"Pracownik techniczny";"50.01 - 100 ha";"50.01 - 100 ha";109;1;"Miêta"
"41 - 50";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";110;1;"Narcyz"
"powy¿ej 60";"Œrednie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"25.01 - 50 ha";109;1;"Miêta"
"powy¿ej 60";"Œrednie ogólne";"Agronom ekspert";"100.01 - 250 ha";"100.01 - 250 ha";106;1;"GoŸdzik"
"mniej ni¿ 30";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";104;1;"Dzwonek"
"31 - 40";"Wy¿sze rolnicze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";104;1;"Dzwonek"
"powy¿ej 60";"Œrednie techniczne";"G³ówny agronom";"25.01 - 50 ha";"25.01 - 50 ha";110;1;"Narcyz"
"mniej ni¿ 30";"Wy¿sze";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";101;1;"Arnika"
"powy¿ej 60";"Wy¿sze";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";105;1;"Fio³ek"
"51 - 60";"Wy¿sze";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"25.01 - 50 ha";110;1;"Narcyz"
"mniej ni¿ 30";"Wy¿sze rolnicze";"Pracownik techniczny";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";106;1;"GoŸdzik"
"powy¿ej 60";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";102;1;"Babka"
"51 - 60";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";102;1;"Babka"
"51 - 60";"Œrednie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"100.01 - 250 ha";102;1;"Babka"
"powy¿ej 60";"Wy¿sze rolnicze";"G³ówny agronom";"50.01 - 100 ha";"50.01 - 100 ha";102;1;"Babka"
"31 - 40";"Œrednie techniczne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";105;1;"Fio³ek"
"31 - 40";"Œrednie techniczne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";104;1;"Dzwonek"
"powy¿ej 60";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";106;1;"GoŸdzik"
"mniej ni¿ 30";"Wy¿sze rolnicze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";101;1;"Arnika"
"powy¿ej 60";"Wy¿sze rolnicze";"Agronom ekspert";"100.01 - 250 ha";"100.01 - 250 ha";107;1;"Jaskier"
"powy¿ej 60";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";105;1;"Fio³ek"
"51 - 60";"Œrednie techniczne";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";109;1;"Miêta"
"51 - 60";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";104;1;"Dzwonek"
"31 - 40";"Wy¿sze rolnicze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";107;1;"Jaskier"
"powy¿ej 60";"Wy¿sze rolnicze";"Agronom ekspert";"100.01 - 250 ha";"100.01 - 250 ha";103;1;"Chaber"
"powy¿ej 60";"Wy¿sze";"Pracownik techniczny";"100.01 - 250 ha";"100.01 - 250 ha";103;1;"Chaber"
"41 - 50";"Wy¿sze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";107;1;"Jaskier"
"41 - 50";"Wy¿sze rolnicze";"G³ówny agronom";"100.01 - 250 ha";"wiêcej ni¿ 250 ha";108;1;"£ubin"
"mniej ni¿ 30";"Wy¿sze rolnicze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";110;1;"Narcyz"
"41 - 50";"Œrednie techniczne";"Agronom ekspert";"50.01 - 100 ha";"50.01 - 100 ha";103;1;"Chaber"
"31 - 40";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";101;1;"Arnika"
"31 - 40";"Wy¿sze";"Agronom ekspert";"50.01 - 100 ha";"50.01 - 100 ha";101;1;"Arnika"
"51 - 60";"Wy¿sze rolnicze";"Inna";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";103;1;"Chaber"
"51 - 60";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";103;1;"Chaber"
"31 - 40";"Wy¿sze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";107;1;"Jaskier"
"powy¿ej 60";"Wy¿sze rolnicze";"G³ówny agronom";"100.01 - 250 ha";"100.01 - 250 ha";105;1;"Fio³ek"
"powy¿ej 60";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"50.01 - 100 ha";106;1;"GoŸdzik"
"31 - 40";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";101;1;"Arnika"
"powy¿ej 60";"Œrednie techniczne";"G³ówny agronom";"25.01 - 50 ha";"25.01 - 50 ha";102;1;"Babka"
"41 - 50";"Wy¿sze rolnicze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";107;1;"Jaskier"
"powy¿ej 60";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"wiêcej ni¿ 250 ha";108;1;"£ubin"
"powy¿ej 60";"Œrednie ogólne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";109;1;"Miêta"
"powy¿ej 60";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";101;1;"Arnika"
"41 - 50";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"50.01 - 100 ha";109;1;"Miêta"
"41 - 50";"Œrednie techniczne";"W³aœciciel";"25.01 - 50 ha";"50.01 - 100 ha";102;1;"Babka"
"powy¿ej 60";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"50.01 - 100 ha";107;1;"Jaskier"
"powy¿ej 60";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"wiêcej ni¿ 250 ha";101;1;"Arnika"
"51 - 60";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";101;1;"Arnika"
"powy¿ej 60";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";107;1;"Jaskier"
"powy¿ej 60";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"25.01 - 50 ha";109;1;"Miêta"
"31 - 40";"Wy¿sze rolnicze";"Agronom ekspert";"50.01 - 100 ha";"50.01 - 100 ha";104;1;"Dzwonek"
"powy¿ej 60";"Œrednie techniczne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";110;1;"Narcyz"
"powy¿ej 60";"Wy¿sze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";104;1;"Dzwonek"
"41 - 50";"Wy¿sze";"Agronom ekspert";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";105;1;"Fio³ek"
"41 - 50";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";109;1;"Miêta"
"powy¿ej 60";"Wy¿sze";"Agronom ekspert";"50.01 - 100 ha";"50.01 - 100 ha";106;1;"GoŸdzik"
"51 - 60";"Œrednie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"50.01 - 100 ha";105;1;"Fio³ek"
"mniej ni¿ 30";"Wy¿sze";"G³ówny agronom";"100.01 - 250 ha";"100.01 - 250 ha";108;1;"£ubin"
"51 - 60";"Œrednie ogólne";"G³ówny agronom";"50.01 - 100 ha";"50.01 - 100 ha";110;1;"Narcyz"
"powy¿ej 60";"Œrednie ogólne";"G³ówny agronom";"100.01 - 250 ha";"100.01 - 250 ha";102;1;"Babka"
"powy¿ej 60";"Wy¿sze rolnicze";"W³aœciciel";"25.01 - 50 ha";"25.01 - 50 ha";110;1;"Narcyz"
"31 - 40";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";101;1;"Arnika"
"powy¿ej 60";"Wy¿sze";"G³ówny agronom";"100.01 - 250 ha";"100.01 - 250 ha";109;1;"Miêta"
"41 - 50";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";104;1;"Dzwonek"
"41 - 50";"Œrednie ogólne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";108;1;"£ubin"
"powy¿ej 60";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";105;1;"Fio³ek"
"powy¿ej 60";"Œrednie techniczne";"Agronom ekspert";"mniej ni¿ 25 ha";"25.01 - 50 ha";104;1;"Dzwonek"
"51 - 60";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"50.01 - 100 ha";110;1;"Narcyz"
"51 - 60";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"100.01 - 250 ha";106;1;"GoŸdzik"
"mniej ni¿ 30";"Wy¿sze rolnicze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";109;1;"Miêta"
"31 - 40";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";104;1;"Dzwonek"
"mniej ni¿ 30";"Œrednie techniczne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"100.01 - 250 ha";107;1;"Jaskier"
"powy¿ej 60";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"100.01 - 250 ha";108;1;"£ubin"
"51 - 60";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"wiêcej ni¿ 250 ha";103;1;"Chaber"
"31 - 40";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 25 ha";104;1;"Dzwonek"
"51 - 60";"Œrednie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"50.01 - 100 ha";105;1;"Fio³ek"
"31 - 40";"Œrednie ogólne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";109;1;"Miêta"
"mniej ni¿ 30";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";106;1;"GoŸdzik"
"powy¿ej 60";"Wy¿sze rolnicze";"W³aœciciel";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";103;1;"Chaber"
"51 - 60";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"50.01 - 100 ha";103;1;"Chaber"
"mniej ni¿ 30";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"50.01 - 100 ha";101;1;"Arnika"
"41 - 50";"Œrednie techniczne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"wiêcej ni¿ 250 ha";106;1;"GoŸdzik"
