"";"education";"ocupation";"area";"age group";"recomendation";"firma";"score";"detractor";"neutral";"promoter";"total"
"463";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"31 - 40";8;"Chaber";"Neutral";0;1;0;1
"464";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"31 - 40";4;"Chaber";"Detractor";1;0;0;1
"465";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";5;"Chaber";"Detractor";1;0;0;1
"466";"Œrednie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"mniej ni¿ 30";10;"Chaber";"Promoter";0;0;1;1
"467";"Œrednie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej ni¿ 30";2;"Chaber";"Detractor";1;0;0;1
"468";"Œrednie techniczne";"W³aœciciel";"50.01 - 100 ha";"41 - 50";9;"Chaber";"Promoter";0;0;1;1
"469";"Œrednie ogólne";"G³ówny agronom";"mniej ni¿ 25 ha";"31 - 40";9;"Chaber";"Promoter";0;0;1;1
"470";"Œrednie ogólne";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"51 - 60";4;"Chaber";"Detractor";1;0;0;1
"471";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"41 - 50";3;"Chaber";"Detractor";1;0;0;1
"472";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"51 - 60";8;"Chaber";"Neutral";0;1;0;1
"473";"Wy¿sze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"31 - 40";8;"Chaber";"Neutral";0;1;0;1
"474";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"41 - 50";3;"Chaber";"Detractor";1;0;0;1
"475";"Wy¿sze rolnicze";"Pracownik techniczny";"25.01 - 50 ha";"mniej ni¿ 30";3;"Chaber";"Detractor";1;0;0;1
"476";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";9;"Chaber";"Promoter";0;0;1;1
"477";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"powy¿ej 60";5;"Chaber";"Detractor";1;0;0;1
"479";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"powy¿ej 60";3;"Chaber";"Detractor";1;0;0;1
"480";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"51 - 60";10;"Chaber";"Promoter";0;0;1;1
"481";"Œrednie techniczne";"G³ówny agronom";"50.01 - 100 ha";"powy¿ej 60";7;"Chaber";"Neutral";0;1;0;1
"482";"Œrednie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";3;"Chaber";"Detractor";1;0;0;1
"484";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powy¿ej 60";5;"Chaber";"Detractor";1;0;0;1
"486";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"powy¿ej 60";3;"Chaber";"Detractor";1;0;0;1
"487";"Wy¿sze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"41 - 50";2;"Chaber";"Detractor";1;0;0;1
"488";"Wy¿sze rolnicze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"51 - 60";9;"Chaber";"Promoter";0;0;1;1
"489";"Wy¿sze rolnicze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"31 - 40";1;"Chaber";"Detractor";1;0;0;1
"490";"Œrednie ogólne";"G³ówny agronom";"50.01 - 100 ha";"powy¿ej 60";6;"Chaber";"Detractor";1;0;0;1
"491";"Wy¿sze";"Pracownik techniczny";"25.01 - 50 ha";"51 - 60";2;"Chaber";"Detractor";1;0;0;1
"492";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"powy¿ej 60";2;"Chaber";"Detractor";1;0;0;1
"493";"Œrednie techniczne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"powy¿ej 60";3;"Chaber";"Detractor";1;0;0;1
"494";"Œrednie ogólne";"G³ówny agronom";"50.01 - 100 ha";"mniej ni¿ 30";2;"Chaber";"Detractor";1;0;0;1
"495";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"51 - 60";4;"Chaber";"Detractor";1;0;0;1
"496";"Œrednie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powy¿ej 60";1;"Chaber";"Detractor";1;0;0;1
"497";"Wy¿sze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powy¿ej 60";9;"Chaber";"Promoter";0;0;1;1
"499";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";1;"Chaber";"Detractor";1;0;0;1
"500";"Œrednie ogólne";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"51 - 60";2;"Chaber";"Detractor";1;0;0;1
"501";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"51 - 60";5;"Chaber";"Detractor";1;0;0;1
"502";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"powy¿ej 60";8;"Chaber";"Neutral";0;1;0;1
"503";"Œrednie techniczne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"31 - 40";4;"Chaber";"Detractor";1;0;0;1
"504";"Wy¿sze rolnicze";"Agronom ekspert";"25.01 - 50 ha";"powy¿ej 60";1;"Chaber";"Detractor";1;0;0;1
"505";"Œrednie techniczne";"W³aœciciel";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";4;"Chaber";"Detractor";1;0;0;1
"506";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"41 - 50";3;"Chaber";"Detractor";1;0;0;1
"507";"Inne";"Pracownik techniczny";"50.01 - 100 ha";"mniej ni¿ 30";3;"Chaber";"Detractor";1;0;0;1
"508";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"41 - 50";6;"Chaber";"Detractor";1;0;0;1
"509";"Œrednie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"powy¿ej 60";2;"Chaber";"Detractor";1;0;0;1
"510";"Œrednie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powy¿ej 60";8;"Chaber";"Neutral";0;1;0;1
"511";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";4;"Chaber";"Detractor";1;0;0;1
"512";"Wy¿sze rolnicze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"31 - 40";2;"Chaber";"Detractor";1;0;0;1
"513";"Œrednie techniczne";"G³ówny agronom";"25.01 - 50 ha";"powy¿ej 60";5;"Chaber";"Detractor";1;0;0;1
"514";"Wy¿sze";"W³aœciciel";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";6;"Chaber";"Detractor";1;0;0;1
"515";"Wy¿sze";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";10;"Chaber";"Promoter";0;0;1;1
"516";"Wy¿sze";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"51 - 60";1;"Chaber";"Detractor";1;0;0;1
"517";"Wy¿sze rolnicze";"Pracownik techniczny";"mniej ni¿ 25 ha";"mniej ni¿ 30";6;"Chaber";"Detractor";1;0;0;1
"518";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"powy¿ej 60";9;"Chaber";"Promoter";0;0;1;1
"519";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"51 - 60";3;"Chaber";"Detractor";1;0;0;1
"520";"Œrednie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";8;"Chaber";"Neutral";0;1;0;1
"521";"Wy¿sze rolnicze";"G³ówny agronom";"50.01 - 100 ha";"powy¿ej 60";9;"Chaber";"Promoter";0;0;1;1
"522";"Œrednie techniczne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"31 - 40";2;"Chaber";"Detractor";1;0;0;1
"523";"Œrednie techniczne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"31 - 40";8;"Chaber";"Neutral";0;1;0;1
"524";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"powy¿ej 60";1;"Chaber";"Detractor";1;0;0;1
"525";"Wy¿sze rolnicze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";5;"Chaber";"Detractor";1;0;0;1
"526";"Wy¿sze rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powy¿ej 60";3;"Chaber";"Detractor";1;0;0;1
"527";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"powy¿ej 60";6;"Chaber";"Detractor";1;0;0;1
"528";"Œrednie techniczne";"W³aœciciel";"wiêcej ni¿ 250 ha";"51 - 60";7;"Chaber";"Neutral";0;1;0;1
"529";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"51 - 60";2;"Chaber";"Detractor";1;0;0;1
"530";"Wy¿sze rolnicze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"31 - 40";9;"Chaber";"Promoter";0;0;1;1
"531";"Wy¿sze rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powy¿ej 60";2;"Chaber";"Detractor";1;0;0;1
"532";"Wy¿sze";"Pracownik techniczny";"100.01 - 250 ha";"powy¿ej 60";4;"Chaber";"Detractor";1;0;0;1
"533";"Wy¿sze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"41 - 50";10;"Chaber";"Promoter";0;0;1;1
"534";"Wy¿sze rolnicze";"G³ówny agronom";"100.01 - 250 ha";"41 - 50";2;"Chaber";"Detractor";1;0;0;1
"536";"Œrednie techniczne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";0;"Chaber";"Detractor";1;0;0;1
"537";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"31 - 40";4;"Chaber";"Detractor";1;0;0;1
"538";"Wy¿sze";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";7;"Chaber";"Neutral";0;1;0;1
"539";"Wy¿sze rolnicze";"Inna";"wiêcej ni¿ 250 ha";"51 - 60";8;"Chaber";"Neutral";0;1;0;1
"540";"Wy¿sze";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"51 - 60";3;"Chaber";"Detractor";1;0;0;1
"543";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"powy¿ej 60";10;"Chaber";"Promoter";0;0;1;1
"544";"Wy¿sze";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"31 - 40";9;"Chaber";"Promoter";0;0;1;1
"545";"Œrednie techniczne";"G³ówny agronom";"25.01 - 50 ha";"powy¿ej 60";9;"Chaber";"Promoter";0;0;1;1
"546";"Wy¿sze rolnicze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"41 - 50";1;"Chaber";"Detractor";1;0;0;1
"547";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powy¿ej 60";10;"Chaber";"Promoter";0;0;1;1
"548";"Œrednie ogólne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"powy¿ej 60";8;"Chaber";"Neutral";0;1;0;1
"549";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"powy¿ej 60";2;"Chaber";"Detractor";1;0;0;1
"550";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"41 - 50";4;"Chaber";"Detractor";1;0;0;1
"551";"Œrednie techniczne";"W³aœciciel";"25.01 - 50 ha";"41 - 50";10;"Chaber";"Promoter";0;0;1;1
"552";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"powy¿ej 60";6;"Chaber";"Detractor";1;0;0;1
"553";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powy¿ej 60";9;"Chaber";"Promoter";0;0;1;1
"554";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"51 - 60";3;"Chaber";"Detractor";1;0;0;1
"555";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";9;"Chaber";"Promoter";0;0;1;1
"556";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"powy¿ej 60";9;"Chaber";"Promoter";0;0;1;1
"557";"Wy¿sze rolnicze";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";3;"Chaber";"Detractor";1;0;0;1
"558";"Œrednie techniczne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"powy¿ej 60";8;"Chaber";"Neutral";0;1;0;1
"559";"Wy¿sze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"powy¿ej 60";3;"Chaber";"Detractor";1;0;0;1
"560";"Wy¿sze";"Agronom ekspert";"mniej ni¿ 25 ha";"41 - 50";2;"Chaber";"Detractor";1;0;0;1
"561";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"41 - 50";3;"Chaber";"Detractor";1;0;0;1
"562";"Wy¿sze";"Agronom ekspert";"50.01 - 100 ha";"powy¿ej 60";0;"Chaber";"Detractor";1;0;0;1
"563";"Œrednie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";1;"Chaber";"Detractor";1;0;0;1
"564";"Wy¿sze";"G³ówny agronom";"100.01 - 250 ha";"mniej ni¿ 30";1;"Chaber";"Detractor";1;0;0;1
"565";"Œrednie ogólne";"G³ówny agronom";"50.01 - 100 ha";"51 - 60";1;"Chaber";"Detractor";1;0;0;1
"566";"Œrednie ogólne";"G³ówny agronom";"100.01 - 250 ha";"powy¿ej 60";6;"Chaber";"Detractor";1;0;0;1
"567";"Wy¿sze rolnicze";"W³aœciciel";"25.01 - 50 ha";"powy¿ej 60";4;"Chaber";"Detractor";1;0;0;1
"569";"Wy¿sze";"G³ówny agronom";"100.01 - 250 ha";"powy¿ej 60";3;"Chaber";"Detractor";1;0;0;1
"570";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"41 - 50";10;"Chaber";"Promoter";0;0;1;1
"571";"Œrednie ogólne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"41 - 50";9;"Chaber";"Promoter";0;0;1;1
"572";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"powy¿ej 60";8;"Chaber";"Neutral";0;1;0;1
"573";"Œrednie techniczne";"Agronom ekspert";"mniej ni¿ 25 ha";"powy¿ej 60";3;"Chaber";"Detractor";1;0;0;1
"574";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"51 - 60";1;"Chaber";"Detractor";1;0;0;1
"575";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"51 - 60";10;"Chaber";"Promoter";0;0;1;1
"576";"Wy¿sze rolnicze";"Agronom ekspert";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";5;"Chaber";"Detractor";1;0;0;1
"577";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"31 - 40";0;"Chaber";"Detractor";1;0;0;1
"578";"Œrednie techniczne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";9;"Chaber";"Promoter";0;0;1;1
"579";"Wy¿sze rolnicze";"W³aœciciel";"100.01 - 250 ha";"powy¿ej 60";10;"Chaber";"Promoter";0;0;1;1
"580";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"51 - 60";1;"Chaber";"Detractor";1;0;0;1
"581";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"31 - 40";6;"Chaber";"Detractor";1;0;0;1
"582";"Œrednie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";6;"Chaber";"Detractor";1;0;0;1
"583";"Œrednie ogólne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"31 - 40";8;"Chaber";"Neutral";0;1;0;1
"584";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";7;"Chaber";"Neutral";0;1;0;1
"585";"Wy¿sze rolnicze";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";7;"Chaber";"Neutral";0;1;0;1
"586";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"51 - 60";3;"Chaber";"Detractor";1;0;0;1
"587";"Wy¿sze rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"mniej ni¿ 30";9;"Chaber";"Promoter";0;0;1;1
"588";"Œrednie techniczne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"41 - 50";4;"Chaber";"Detractor";1;0;0;1
"589";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"590";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"31 - 40";6;"Dzwonek";"Detractor";1;0;0;1
"591";"Œrednie ogólne";"G³ówny agronom";"100.01 - 250 ha";"mniej ni¿ 30";5;"Dzwonek";"Detractor";1;0;0;1
"592";"Œrednie ogólne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";6;"Dzwonek";"Detractor";1;0;0;1
"593";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"594";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"mniej ni¿ 30";9;"Dzwonek";"Promoter";0;0;1;1
"595";"Wy¿sze";"G³ówny agronom";"100.01 - 250 ha";"41 - 50";7;"Dzwonek";"Neutral";0;1;0;1
"596";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"41 - 50";1;"Dzwonek";"Detractor";1;0;0;1
"597";"Œrednie techniczne";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";4;"Dzwonek";"Detractor";1;0;0;1
"598";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"31 - 40";3;"Dzwonek";"Detractor";1;0;0;1
"599";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"powy¿ej 60";4;"Dzwonek";"Detractor";1;0;0;1
"600";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"41 - 50";4;"Dzwonek";"Detractor";1;0;0;1
"601";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"41 - 50";2;"Dzwonek";"Detractor";1;0;0;1
"602";"Œrednie ogólne";"Dyrektor/wicedyrektor";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";6;"Dzwonek";"Detractor";1;0;0;1
"603";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"604";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"31 - 40";2;"Dzwonek";"Detractor";1;0;0;1
"605";"Œrednie techniczne";"W³aœciciel";"100.01 - 250 ha";"31 - 40";2;"Dzwonek";"Detractor";1;0;0;1
"606";"Œrednie ogólne";"Agronom ekspert";"100.01 - 250 ha";"51 - 60";7;"Dzwonek";"Neutral";0;1;0;1
"607";"Œrednie techniczne";"W³aœciciel";"50.01 - 100 ha";"powy¿ej 60";4;"Dzwonek";"Detractor";1;0;0;1
"608";"Œrednie ogólne";"G³ówny agronom";"25.01 - 50 ha";"powy¿ej 60";6;"Dzwonek";"Detractor";1;0;0;1
"609";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 30";1;"Dzwonek";"Detractor";1;0;0;1
"610";"Œrednie ogólne";"G³ówny agronom";"wiêcej ni¿ 250 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"611";"Œrednie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"powy¿ej 60";8;"Dzwonek";"Neutral";0;1;0;1
"612";"Œrednie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";7;"Dzwonek";"Neutral";0;1;0;1
"613";"Œrednie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"614";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"41 - 50";5;"Dzwonek";"Detractor";1;0;0;1
"615";"Œrednie techniczne";"Pracownik techniczny";"mniej ni¿ 25 ha";"51 - 60";7;"Dzwonek";"Neutral";0;1;0;1
"616";"Œrednie ogólne";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"51 - 60";0;"Dzwonek";"Detractor";1;0;0;1
"617";"Œrednie ogólne";"Pracownik techniczny";"mniej ni¿ 25 ha";"51 - 60";10;"Dzwonek";"Promoter";0;0;1;1
"618";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"mniej ni¿ 30";3;"Dzwonek";"Detractor";1;0;0;1
"619";"Œrednie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"powy¿ej 60";2;"Dzwonek";"Detractor";1;0;0;1
"620";"Wy¿sze rolnicze";"W³aœciciel";"mniej ni¿ 25 ha";"41 - 50";0;"Dzwonek";"Detractor";1;0;0;1
"621";"Wy¿sze";"G³ówny agronom";"wiêcej ni¿ 250 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"622";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"31 - 40";6;"Dzwonek";"Detractor";1;0;0;1
"623";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"31 - 40";0;"Dzwonek";"Detractor";1;0;0;1
"624";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"powy¿ej 60";4;"Dzwonek";"Detractor";1;0;0;1
"625";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";10;"Dzwonek";"Promoter";0;0;1;1
"626";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"41 - 50";1;"Dzwonek";"Detractor";1;0;0;1
"627";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"51 - 60";8;"Dzwonek";"Neutral";0;1;0;1
"628";"Œrednie techniczne";"Agronom ekspert";"25.01 - 50 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"629";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"41 - 50";7;"Dzwonek";"Neutral";0;1;0;1
"630";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"631";"Œrednie techniczne";"Agronom ekspert";"100.01 - 250 ha";"41 - 50";1;"Dzwonek";"Detractor";1;0;0;1
"632";"Œrednie techniczne";"Agronom ekspert";"25.01 - 50 ha";"31 - 40";9;"Dzwonek";"Promoter";0;0;1;1
"633";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"634";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"powy¿ej 60";3;"Dzwonek";"Detractor";1;0;0;1
"635";"Œrednie ogólne";"G³ówny agronom";"100.01 - 250 ha";"51 - 60";3;"Dzwonek";"Detractor";1;0;0;1
"636";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"637";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";9;"Dzwonek";"Promoter";0;0;1;1
"638";"Œrednie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";6;"Dzwonek";"Detractor";1;0;0;1
"639";"Œrednie techniczne";"W³aœciciel";"mniej ni¿ 25 ha";"31 - 40";5;"Dzwonek";"Detractor";1;0;0;1
"640";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"powy¿ej 60";2;"Dzwonek";"Detractor";1;0;0;1
"641";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"642";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"31 - 40";9;"Dzwonek";"Promoter";0;0;1;1
"643";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"644";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";7;"Dzwonek";"Neutral";0;1;0;1
"645";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"41 - 50";4;"Dzwonek";"Detractor";1;0;0;1
"646";"Œrednie ogólne";"W³aœciciel";"mniej ni¿ 25 ha";"31 - 40";6;"Dzwonek";"Detractor";1;0;0;1
"647";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"31 - 40";1;"Dzwonek";"Detractor";1;0;0;1
"648";"Œrednie ogólne";"W³aœciciel";"100.01 - 250 ha";"51 - 60";6;"Dzwonek";"Detractor";1;0;0;1
"649";"Wy¿sze rolnicze";"W³aœciciel";"mniej ni¿ 25 ha";"41 - 50";3;"Dzwonek";"Detractor";1;0;0;1
"650";"Œrednie ogólne";"W³aœciciel";"50.01 - 100 ha";"powy¿ej 60";10;"Dzwonek";"Promoter";0;0;1;1
"651";"Œrednie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";2;"Dzwonek";"Detractor";1;0;0;1
"652";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"31 - 40";5;"Dzwonek";"Detractor";1;0;0;1
"653";"Œrednie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";3;"Dzwonek";"Detractor";1;0;0;1
"654";"Œrednie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej ni¿ 30";10;"Dzwonek";"Promoter";0;0;1;1
"655";"Œrednie ogólne";"Agronom ekspert";"mniej ni¿ 25 ha";"31 - 40";6;"Dzwonek";"Detractor";1;0;0;1
"656";"Œrednie ogólne";"W³aœciciel";"wiêcej ni¿ 250 ha";"mniej ni¿ 30";6;"Dzwonek";"Detractor";1;0;0;1
"657";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"41 - 50";4;"Dzwonek";"Detractor";1;0;0;1
"658";"Œrednie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"659";"Œrednie ogólne";"Agronom ekspert";"wiêcej ni¿ 250 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"660";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"31 - 40";1;"Dzwonek";"Detractor";1;0;0;1
"661";"Œrednie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";2;"Dzwonek";"Detractor";1;0;0;1
"662";"Œrednie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"mniej ni¿ 30";3;"Dzwonek";"Detractor";1;0;0;1
"663";"Œrednie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej ni¿ 30";1;"Dzwonek";"Detractor";1;0;0;1
"664";"Œrednie techniczne";"W³aœciciel";"50.01 - 100 ha";"41 - 50";5;"Dzwonek";"Detractor";1;0;0;1
"665";"Œrednie ogólne";"G³ówny agronom";"mniej ni¿ 25 ha";"31 - 40";2;"Dzwonek";"Detractor";1;0;0;1
"666";"Œrednie ogólne";"Dyrektor/wicedyrektor";"mniej ni¿ 25 ha";"51 - 60";8;"Dzwonek";"Neutral";0;1;0;1
"667";"Œrednie ogólne";"Pracownik techniczny";"wiêcej ni¿ 250 ha";"41 - 50";4;"Dzwonek";"Detractor";1;0;0;1
"668";"Œrednie ogólne";"W³aœciciel";"25.01 - 50 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
